strideIndex,timestamp,gcpX,gcpY
3.160000000000000000e+02,1.584945395999999951e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.580000000000000000e+02,2.294811361999999910e+00,5.650857350099443011e-01,-9.138969105738232734e-01
6.860000000000000000e+02,3.434932904000000065e+00,-4.250031146536960014e-01,-1.733100341076108553e+00
8.340000000000000000e+02,4.174870420000000415e+00,-1.421028418506923519e+00,-1.250261185055251856e+00
9.780000000000000000e+02,4.894648723999999618e+00,-1.808286490885594011e+00,5.444169468977189119e-03
1.124000000000000000e+03,5.624840794999999893e+00,-1.172152116022282753e+00,1.143565231692980078e+00
1.274000000000000000e+03,6.374805865999999988e+00,2.623314801557913856e-01,8.739892466954819472e-01
1.417000000000000000e+03,7.089628504000000220e+00,7.003986843619582903e-01,-6.425856443882440594e-01
1.565000000000000000e+03,7.829763521000000281e+00,-4.364641481440250104e-01,-1.691778243392584091e+00
1.710000000000000000e+03,8.554581265999999573e+00,-1.894831370808250259e+00,-8.330107574690716055e-01
1.848000000000000000e+03,9.244515467999999458e+00,-1.951562753468414790e+00,7.623038596263975730e-01
1.993000000000000000e+03,9.969550497000000178e+00,-5.970058075599844472e-01,1.480320837082167884e+00
2.142000000000000000e+03,1.071454514300000049e+01,6.290505617801638305e-01,3.176190089107444603e-01
2.279000000000000000e+03,1.139961274200000041e+01,4.773785347800412193e-01,-1.102833916626634991e+00
2.424000000000000000e+03,1.212461846299999912e+01,-9.317078453264439064e-01,-1.764562642765601819e+00
2.568000000000000000e+03,1.284459737699999948e+01,-2.154631139123210914e+00,-7.064617356603263287e-01
2.697000000000000000e+03,1.348939244399999993e+01,-1.784691934974900196e+00,7.979251212932753079e-01
2.857000000000000000e+03,1.428931554400000081e+01,-2.534517643543159338e-01,9.107421146685665825e-01
3.766000000000000000e+03,1.883428411299999894e+01,-3.941247507377772241e-02,-8.602109571052921067e-02
