strideIndex,timestamp,gcpX,gcpY
3.100000000000000000e+02,1.549865245999999974e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.290000000000000000e+02,2.644810200000000222e+00,6.013588007585120021e-01,-1.109666289939652273e-01
7.910000000000000000e+02,3.954749583999999540e+00,1.720339009610055703e+00,-2.825804168973731212e-01
9.990000000000000000e+02,4.994697094000000170e+00,2.023516777878995310e+00,7.035054012885821884e-01
1.299000000000000000e+03,6.494636536000000682e+00,1.025490528960972814e+00,1.199295282660339801e+00
1.525000000000000000e+03,7.624598502999999639e+00,1.413831986208632374e-01,5.667202053462832012e-01
1.801000000000000000e+03,9.004573822000001115e+00,-4.338939396264798742e-02,-9.776596342754231284e-01
2.034000000000000000e+03,1.016956519999999919e+01,1.001276322573567024e+00,-1.380096636418462808e+00
2.288000000000000000e+03,1.143956851999999991e+01,2.227334944806570238e+00,-1.622528595631987702e+00
2.508000000000000000e+03,1.253954219999999964e+01,2.998134958738408073e+00,-8.990554872701920219e-01
2.772000000000000000e+03,1.385951614000000021e+01,3.294859809432690856e+00,3.677496922978647498e-01
2.998000000000000000e+03,1.498949050999999955e+01,3.428703744957660948e+00,1.519386267317600403e+00
3.249000000000000000e+03,1.624447440999999870e+01,2.310717953662502211e+00,2.123184056699225053e+00
3.485000000000000000e+03,1.742448043999999996e+01,1.091880469441848245e+00,2.338323981070939528e+00
3.709000000000000000e+03,1.854448890999999833e+01,-9.597377383546312757e-02,2.515714219607581015e+00
3.952000000000000000e+03,1.975948143000000101e+01,-8.261683380795991072e-01,1.736958225506529896e+00
4.197000000000000000e+03,2.098447609000000114e+01,-1.128132097542194900e+00,4.900917980287443632e-01
4.441000000000000000e+03,2.220448494000000039e+01,-1.246521355513563689e+00,-7.869806288903355984e-01
4.694000000000000000e+03,2.346948813999999928e+01,-3.316859363317460341e-01,-1.618389767528123357e+00
4.927000000000000000e+03,2.463436889999999835e+01,9.263548840112603155e-01,-1.926996790051422215e+00
5.178000000000000000e+03,2.588917732000000171e+01,2.129654841934011777e+00,-2.201538610660058293e+00
5.427000000000000000e+03,2.713402175999999955e+01,3.274914625942269453e+00,-1.848612234296150181e+00
5.660000000000000000e+03,2.829892730999999984e+01,3.746911034204468915e+00,-7.411333899891435761e-01
5.921000000000000000e+03,2.960387611000000163e+01,3.978323152562365905e+00,4.501320848220383697e-01
6.166000000000000000e+03,3.082881164999999868e+01,3.995182009939775014e+00,1.695211109995913734e+00
6.390000000000000000e+03,3.194876479999999930e+01,3.257526433577577762e+00,2.593285856696740943e+00
6.635000000000000000e+03,3.317370606000000066e+01,2.022672081940958044e+00,2.922830588476970082e+00
6.884000000000000000e+03,3.441863631999999740e+01,6.888676004494251881e-01,3.110922600941889549e+00
7.118000000000000000e+03,3.558860778999999752e+01,-5.890313058103976429e-01,3.159732286250735100e+00
7.369000000000000000e+03,3.684359359999999839e+01,-1.389056287833193348e+00,2.280827838577710320e+00
7.611000000000000000e+03,3.805355071999999694e+01,-1.695828910940928136e+00,1.035656943595178126e+00
7.854000000000000000e+03,3.926851654000000025e+01,-1.892698726993140124e+00,-2.676033049843481448e-01
8.087000000000000000e+03,4.043349074999999715e+01,-1.711128687547770921e+00,-1.559147079223458743e+00
8.348000000000000000e+03,4.173846436000000182e+01,-9.336538077518876655e-01,-2.709363498549133720e+00
8.584000000000000000e+03,4.291845702999999901e+01,3.419381383116231188e-01,-3.064916851982770751e+00
8.829000000000000000e+03,4.414345551000000256e+01,1.606160806413592379e+00,-3.245111317650110294e+00
9.074000000000000000e+03,4.536845017000000269e+01,2.900524551028878850e+00,-3.483137569617186458e+00
9.313000000000000000e+03,4.656342697000000186e+01,4.199508996374104797e+00,-3.575356931744432032e+00
9.547000000000000000e+03,4.773340607000000091e+01,4.594003637178756705e+00,-2.458851679461036888e+00
9.800000000000000000e+03,4.899839400999999839e+01,4.806292279151923807e+00,-1.167890203471459110e+00
1.003000000000000000e+04,5.014839934999999826e+01,5.010667689238228917e+00,1.029869313264153430e-01
1.026300000000000000e+04,5.131344222999999971e+01,5.212364294751903770e+00,1.347983107755990062e+00
1.052300000000000000e+04,5.261346053999999839e+01,5.502304774738131066e+00,2.602623900200328411e+00
1.073400000000000000e+04,5.366831589000000236e+01,5.007889885582461176e+00,3.513503649333652223e+00
1.097500000000000000e+04,5.487315749999999781e+01,3.743774714222237066e+00,3.800754121112047024e+00
1.122100000000000000e+04,5.610298537999999979e+01,2.457915520807702592e+00,3.977971881822771394e+00
1.145300000000000000e+04,5.726285933999999855e+01,1.182242966726931410e+00,4.141616419663306736e+00
1.169800000000000000e+04,5.848773956000000140e+01,-1.355917026164839001e-01,4.363796041313293017e+00
1.193800000000000000e+04,5.968764113999999665e+01,-1.376497997999917677e+00,4.601273547780245998e+00
1.216700000000000000e+04,6.083258438000000012e+01,-2.287814514437537028e+00,4.146315080590105673e+00
1.241500000000000000e+04,6.207254410000000178e+01,-2.563635266780494693e+00,2.962389444168221253e+00
1.265100000000000000e+04,6.325250625999999698e+01,-2.748204069515717940e+00,1.667476954052813376e+00
1.288900000000000000e+04,6.444245911000000149e+01,-2.914247437361221493e+00,3.749744975775760603e-01
