strideIndex,timestamp,gcpX,gcpY
2.290000000000000000e+02,1.144954860000000130e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.020000000000000000e+02,2.509912848499999960e+00,4.465214600024242086e-01,-2.740594566098814577e-01
7.430000000000000000e+02,3.714914381249999842e+00,3.741834903767505272e-01,-1.288964978395251926e+00
9.880000000000000000e+02,4.939881324999999990e+00,-6.848976972765505877e-01,-1.439098378939146272e+00
1.291000000000000000e+03,6.454907298000000182e+00,-1.248623957573697707e+00,-5.171191473664425997e-01
1.483000000000000000e+03,7.414900779749999948e+00,-7.523758099403702326e-01,4.739922368737401470e-01
1.744000000000000000e+03,8.719895362999999122e+00,4.066892838042978076e-01,5.672290775680908226e-01
1.964000000000000000e+03,9.819926262000000960e+00,1.227251478256660144e+00,-2.562651149041589860e-01
2.216000000000000000e+03,1.107989882999999942e+01,1.038963893890433754e+00,-1.500606219896488458e+00
2.453000000000000000e+03,1.226489830000000048e+01,2.266290124627468039e-02,-2.352973096511539630e+00
2.655000000000000000e+03,1.327487182750000017e+01,-1.331428390966205466e+00,-2.153599647039611931e+00
2.884000000000000000e+03,1.441983794999999979e+01,-2.047924953595078534e+00,-1.012654128734285841e+00
3.134000000000000000e+03,1.566984843999999910e+01,-1.735448211685990172e+00,2.412291536193315045e-01
3.414000000000000000e+03,1.706981754499999937e+01,-8.602975685601770284e-01,1.247370471644029033e+00
3.630000000000000000e+03,1.814981174500000094e+01,2.978633829896928931e-01,1.324079078104452023e+00
3.826000000000000000e+03,1.912981223999999969e+01,1.470610955206397286e+00,9.087092045461671042e-01
4.050000000000000000e+03,2.024978542499999890e+01,2.081187647785684547e+00,-2.606261205334010622e-01
4.321000000000000000e+03,2.160479402750000233e+01,2.493510276647523227e+00,-1.577935518407895144e+00
4.555000000000000000e+03,2.277479124250000098e+01,2.578300420190006825e+00,-2.718871814420097621e+00
4.831000000000000000e+03,2.415476894500000071e+01,2.159156538673780990e+00,-3.898673241181191962e+00
5.082000000000000000e+03,2.540978527499999728e+01,9.536570209705916845e-01,-3.875201709118313076e+00
5.327000000000000000e+03,2.663476515250000176e+01,-2.099922535440050808e-01,-3.519137998637096754e+00
5.585000000000000000e+03,2.792479706000000306e+01,-1.412560701854115752e+00,-3.324846652640901290e+00
5.817000000000000000e+03,2.908477497249999999e+01,-1.833508539884126876e+00,-4.132821848830648293e+00
6.059000000000000000e+03,3.029476118250000383e+01,-2.361835755159949812e+00,-5.183890996698139020e+00
6.294000000000000000e+03,3.146979236499999644e+01,-2.883552995550564546e+00,-6.173851158057778399e+00
6.533000000000000000e+03,3.266478729249999446e+01,-3.786225468257697901e+00,-6.281778944177897728e+00
6.786000000000000000e+03,3.392983627499999955e+01,-4.702035976353063695e+00,-5.780453587486149125e+00
7.024000000000000000e+03,3.511982727000000182e+01,-5.322945236980187289e+00,-4.952634349930342239e+00
7.251000000000000000e+03,3.625482558999999583e+01,-4.800065851791403659e+00,-3.839675613703073864e+00
7.436000000000000000e+03,3.717985915999999946e+01,-4.191782020594773783e+00,-2.776947153227514953e+00
7.657000000000000000e+03,3.828482151249999532e+01,-3.723138183466450535e+00,-1.441034373918311351e+00
7.926000000000000000e+03,3.962979698000000894e+01,-2.792505100392321360e+00,-6.936723032404230604e-01
8.143000000000000000e+03,4.071459293250000400e+01,-2.575513397435857499e+00,5.046897459116908013e-01
8.335000000000000000e+03,4.167419529249999499e+01,-1.998151950042366787e+00,1.581694276572399582e+00
8.615000000000000000e+03,4.307376766499999832e+01,-1.482394217069721076e+00,2.825486044063612923e+00
8.843000000000000000e+03,4.421349239499999584e+01,-8.247673028982414056e-01,3.925325960486588439e+00
9.058000000000000000e+03,4.528832626500000202e+01,-2.960191848814877069e-01,5.072571107651631550e+00
9.270000000000000000e+03,4.634817123500000235e+01,6.323284018494907954e-01,5.737230236988443366e+00
9.548000000000000000e+03,4.773802948000000157e+01,1.805148099613755663e+00,5.599684039163355997e+00
9.750000000000000000e+03,4.874798012000000114e+01,2.771768358463511550e+00,4.864762087401653723e+00
9.957000000000000000e+03,4.978290176249999632e+01,2.685407426838745337e+00,3.698580802399658474e+00
1.023500000000000000e+04,5.117285442499999704e+01,2.651028746142663373e+00,2.697389958297698342e+00
1.046200000000000000e+04,5.230780983000000361e+01,2.497981996621319922e+00,1.546473066223839066e+00
1.071700000000000000e+04,5.358276462499999582e+01,1.582067163767020723e+00,1.299327321859343742e+00
1.095100000000000000e+04,5.475276565749999946e+01,1.353262832443361763e+00,2.474218201033887787e+00
1.117800000000000000e+04,5.588772774000000254e+01,1.813236435193821716e+00,3.480200946796837336e+00
1.141300000000000000e+04,5.706272220500000003e+01,1.671797379029041242e+00,4.352035216249016791e+00
1.163700000000000000e+04,5.818272400000000033e+01,6.858824163143402153e-01,4.372570217960004335e+00
1.187200000000000000e+04,5.935771560999999963e+01,-9.210503785393764353e-02,3.757889389271845459e+00
1.220000000000000000e+04,6.099776839999999822e+01,-3.418388974622617038e-01,2.621276438718698643e+00
